comp1111237_c0_seq1|m.115999	R_sang_729
comp126888_c0_seq1|m.14843	R_sang_6795
comp266672_c0_seq1|m.113463	R_sang_4744
comp145943_c0_seq9|m.98190	R_sang_211
comp137733_c0_seq1|m.37223	R_sang_1070
comp130908_c0_seq2|m.19541	R_sang_146
comp127100_c0_seq1|m.15072	R_sang_23523
comp144883_c0_seq12|m.86838	R_sang_2622
comp140836_c0_seq1|m.53307	R_sang_8969
comp95563_c0_seq1|m.4448	R_sang_11394
comp134381_c0_seq1|m.26467	R_sang_32587
comp138727_c0_seq1|m.41649	R_sang_18408
comp131185_c0_seq1|m.20024	R_sang_3265
comp134594_c0_seq1|m.27128	R_sang_11472
comp134187_c1_seq9|m.26022	R_sang_18544
comp142964_c0_seq8|m.68340	R_sang_31520
comp128325_c0_seq4|m.16429	R_sang_31370
comp143213_c0_seq2|m.70420	R_sang_12282
comp147026_c0_seq4|m.110811	R_sang_13895
comp143152_c0_seq1|m.69982	R_sang_8204
comp142877_c1_seq9|m.67717	R_sang_14977
comp98879_c0_seq4|m.4983	R_sang_5376
comp104920_c0_seq1|m.6038	R_sang_24473
comp130256_c0_seq1|m.18617	R_sang_29501
comp128392_c0_seq1|m.16479	R_sang_11562
comp145920_c2_seq8|m.97919	R_sang_10240
comp132532_c0_seq2|m.22519	R_sang_17218
comp138382_c1_seq3|m.39993	R_sang_12877
comp142205_c0_seq21|m.62688	R_sang_25345
comp137653_c0_seq1|m.36931	R_sang_5089
comp142707_c0_seq4|m.66508	R_sang_16408
comp133972_c0_seq2|m.25534	R_sang_16768
comp144655_c2_seq1|m.84711	R_sang_12247
comp133506_c0_seq3|m.24423	R_sang_22420
comp145044_c0_seq6|m.88381	R_sang_30341
comp143942_c0_seq3|m.77163	R_sang_24677
comp134791_c0_seq2|m.27588	R_sang_28442
comp238397_c0_seq1|m.113211	R_sang_21987
comp133475_c0_seq2|m.24289	R_sang_4181
comp143624_c0_seq33|m.74369	R_sang_14530
comp139513_c0_seq4|m.45388	R_sang_5500
comp147070_c0_seq5|m.111318	R_sang_26298
comp130954_c0_seq1|m.19610	R_sang_32651
comp130033_c0_seq4|m.18372	R_sang_13496
comp135719_c0_seq1|m.30199	R_sang_3805
comp435993_c0_seq1|m.114700	R_sang_7308
comp141366_c1_seq5|m.56677	R_sang_27710
comp141277_c1_seq2|m.55886	R_sang_19838
comp143017_c1_seq11|m.68955	R_sang_18607
comp132444_c0_seq1|m.22366	R_sang_26444
comp145404_c0_seq7|m.92387	R_sang_26328
comp135741_c0_seq14|m.30322	R_sang_10567
comp135057_c0_seq1|m.28274	R_sang_11197
comp143593_c0_seq4|m.73998	R_sang_2558
comp130764_c0_seq2|m.19372	R_sang_12325
comp135447_c0_seq2|m.29450	R_sang_691
comp129730_c0_seq2|m.17929	R_sang_14168
comp129184_c0_seq2|m.17319	R_sang_16560
comp265548_c0_seq1|m.113434	R_sang_19783
comp138022_c0_seq3|m.38416	R_sang_13519
comp364185_c0_seq1|m.114241	R_sang_18338
comp140746_c0_seq2|m.52849	R_sang_23257
comp144853_c0_seq5|m.86602	R_sang_7600
comp118636_c0_seq1|m.9543	R_sang_13330
comp143780_c0_seq3|m.75675	R_sang_1492
comp133647_c0_seq2|m.24721	R_sang_10284
comp147047_c0_seq5|m.111035	R_sang_7333
comp73276_c0_seq1|m.2622	R_sang_19272
comp129057_c0_seq2|m.17171	R_sang_12981
comp125352_c0_seq2|m.13555	R_sang_13776
comp138718_c0_seq11|m.41627	R_sang_22799
comp132728_c0_seq5|m.22838	R_sang_29566
comp146260_c1_seq8|m.100987	R_sang_26211
comp146260_c1_seq41|m.101428	R_sang_20243
comp138628_c1_seq6|m.41040	R_sang_19402
comp106421_c0_seq2|m.6238	R_sang_26065
comp6146_c0_seq1|m.25	R_sang_6615
comp139561_c0_seq9|m.45607	R_sang_26181
comp441877_c0_seq1|m.114726	R_sang_24630
comp72489_c0_seq1|m.2521	R_sang_9601
comp614299_c0_seq1|m.115323	R_sang_32922
comp142678_c0_seq3|m.66375	R_sang_13928
comp145972_c2_seq2|m.98452	R_sang_20884
comp133475_c0_seq12|m.24323	R_sang_18791
comp1375580_c0_seq1|m.116070	R_sang_15669
comp124012_c0_seq5|m.12454	R_sang_23506
comp133520_c0_seq1|m.24458	R_sang_14105
comp141699_c0_seq2|m.59152	R_sang_6052
comp120858_c0_seq2|m.10482	R_sang_12740
comp146261_c1_seq9|m.101838	R_sang_17952
comp144224_c1_seq8|m.80703	R_sang_31454
comp144260_c2_seq6|m.80847	R_sang_7763
comp319831_c0_seq1|m.113923	R_sang_4587
comp142460_c0_seq21|m.64456	R_sang_24718
comp135017_c0_seq2|m.28151	R_sang_11449
comp145578_c1_seq8|m.94162	R_sang_9527
comp139974_c0_seq7|m.48067	R_sang_1432
comp141562_c3_seq1|m.58079	R_sang_8900
comp144149_c0_seq62|m.79686	R_sang_8177
comp146169_c1_seq40|m.100196	R_sang_21095
comp117131_c0_seq4|m.8982	R_sang_8521
comp136169_c0_seq1|m.31497	R_sang_31181
comp141252_c0_seq6|m.55677	R_sang_19718
comp145925_c0_seq2|m.97958	R_sang_22008
comp145365_c0_seq7|m.91858	R_sang_2341
comp137854_c0_seq9|m.37633	R_sang_13084
comp142522_c2_seq29|m.64971	R_sang_28680
comp834842_c0_seq1|m.115683	R_sang_19755
comp141922_c0_seq10|m.61171	R_sang_2465
comp144047_c0_seq1|m.78287	R_sang_25771
comp138830_c0_seq3|m.42068	R_sang_15672
comp134397_c0_seq3|m.26549	R_sang_9780
comp38369_c0_seq1|m.1259	R_sang_33174
comp140901_c2_seq2|m.53642	R_sang_24685
comp146863_c0_seq6|m.108850	R_sang_31949
comp127335_c0_seq1|m.15429	R_sang_8107
comp142152_c2_seq2|m.62341	R_sang_24633
comp120964_c0_seq2|m.10521	R_sang_17900
comp137341_c0_seq1|m.35868	R_sang_1307
comp36610_c0_seq1|m.1075	R_sang_28319
comp144149_c0_seq24|m.79352	R_sang_21941
comp144726_c2_seq5|m.85281	R_sang_21081
comp141719_c2_seq2|m.59272	R_sang_27284
comp143797_c2_seq4|m.75845	R_sang_4337
comp131130_c0_seq2|m.19940	R_sang_23045
comp30261_c0_seq1|m.629	R_sang_22059
